 INFO  Accepting connections at http://localhost:4173
 HTTP  7/6/2026 11:54:26 PM ::1 GET /data/press_mean.f32
 HTTP  7/6/2026 11:54:26 PM ::1 Returned 304 in 1 ms
 HTTP  7/6/2026 11:54:26 PM ::1 GET /data/press_std.f32
 HTTP  7/6/2026 11:54:26 PM ::1 Returned 304 in 0 ms
 HTTP  7/6/2026 11:54:26 PM ::1 GET /data/token_glance_pair.f32
 HTTP  7/6/2026 11:54:26 PM ::1 Returned 304 in 1 ms
 HTTP  7/6/2026 11:54:26 PM ::1 GET /data/token_glance_state.f32
 HTTP  7/6/2026 11:54:26 PM ::1 Returned 304 in 0 ms
 HTTP  7/6/2026 11:54:27 PM ::1 GET /models/bridge_pooled.onnx
 HTTP  7/6/2026 11:54:27 PM ::1 GET /models/gaze.onnx
 HTTP  7/6/2026 11:54:27 PM ::1 Returned 304 in 1 ms
 HTTP  7/6/2026 11:54:27 PM ::1 Returned 304 in 1 ms
 HTTP  7/6/2026 11:54:27 PM ::1 GET /models/tongue.onnx
 HTTP  7/6/2026 11:54:27 PM ::1 Returned 304 in 1 ms
 HTTP  7/6/2026 11:54:27 PM ::1 GET /models/eye.onnx
 HTTP  7/6/2026 11:54:27 PM ::1 Returned 304 in 1 ms
 HTTP  7/6/2026 11:54:27 PM ::1 GET /models/imagination.onnx
 HTTP  7/6/2026 11:54:27 PM ::1 GET /models/bridge_attentive.onnx
 HTTP  7/6/2026 11:54:27 PM ::1 Returned 304 in 1 ms
 HTTP  7/6/2026 11:54:27 PM ::1 Returned 304 in 1 ms
 HTTP  7/6/2026 11:54:37 PM ::1 GET /
 HTTP  7/6/2026 11:54:37 PM ::1 Returned 304 in 2 ms
 HTTP  7/6/2026 11:54:37 PM ::1 GET /_next/static/chunks/4bd1b696-c023c6e3521b1417.js
 HTTP  7/6/2026 11:54:37 PM ::1 GET /_next/static/chunks/255-3a91f01e1c0f613e.js
 HTTP  7/6/2026 11:54:37 PM ::1 Returned 304 in 0 ms
 HTTP  7/6/2026 11:54:37 PM ::1 Returned 304 in 1 ms
 HTTP  7/6/2026 11:54:37 PM ::1 GET /_next/static/chunks/106-351b2f4ea352165b.js
 HTTP  7/6/2026 11:54:37 PM ::1 GET /_next/static/css/8a03b19b223137a1.css
 HTTP  7/6/2026 11:54:37 PM ::1 GET /_next/static/chunks/app/page-f5a41ceef3136200.js
 HTTP  7/6/2026 11:54:37 PM ::1 Returned 304 in 1 ms
 HTTP  7/6/2026 11:54:37 PM ::1 Returned 304 in 1 ms
 HTTP  7/6/2026 11:54:37 PM ::1 GET /_next/static/chunks/webpack-d6333a93cf04b48e.js
 HTTP  7/6/2026 11:54:37 PM ::1 Returned 304 in 2 ms
 HTTP  7/6/2026 11:54:37 PM ::1 Returned 304 in 1 ms
